"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"The Signal and the Noise: Why So Many Predictions Fail—But Some Don't","Nate Silver","256","3.97","48422","2012.0"
"How to Lie with Statistics","Darrell Huff","240","3.85","14807","1954.0"
"Naked Statistics: Stripping the Dread from the Data","Charles Wheelan","239","3.95","12908","2012.0"
"The Art of Statistics: How to Learn from Data","David Spiegelhalter","171","4.18","3682","2019.0"
"An Introduction to Statistical Learning: With Applications in R","Gareth James","145","4.59","2002","2013.0"
"The Black Swan: The Impact of the Highly Improbable","Nassim Nicholas Taleb","124","3.95","104422","2007.0"
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction","Trevor Hastie","120","4.42","1699","2001.0"
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything","Steven D. Levitt","115","4.0","813039","2005.0"
"Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets","Nassim Nicholas Taleb","93","4.08","59659","2001.0"
"The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century","David Salsburg","90","3.91","1701","2001.0"
"The Drunkard's Walk: How Randomness Rules Our Lives","Leonard Mlodinow","77","3.94","21995","2008.0"
"The Visual Display of Quantitative Information","Edward R. Tufte","77","4.39","8022","1983.0"
"Statistics Done Wrong: The Woefully Complete Guide","Alex Reinhart","76","4.18","986","2013.0"
"The Book of Why: The New Science of Cause and Effect","Judea Pearl","75","3.93","4704","2018.0"
"Bayesian Data Analysis","Andrew Gelman","71","4.23","512","1995.0"
"Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think","Hans Rosling","70","4.37","164818","2018.0"
"The Data Detective: Ten Easy Rules to Make Sense of Statistics","Tim Harford","67","4.14","5337","2020.0"
"Moneyball: The Art of Winning an Unfair Game","Michael   Lewis","62","4.25","121729","2003.0"
"Superforecasting: The Art and Science of Prediction","Philip E. Tetlock","61","4.08","18342","2015.0"
"All of Statistics: A Concise Course in Statistical Inference","Larry Wasserman","57","4.22","336","2003.0"
"The Cartoon Guide to Statistics","Larry Gonick","57","3.89","1419","1993.0"
"Think Stats","Allen B. Downey","53","3.61","451","2011.0"
"Doing Bayesian Data Analysis: A Tutorial Introduction with R and BUGS","John K. Kruschke","52","4.37","357",""
"Statistics","David Freedman","50","3.9","368","1978.0"
