"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"The Pragmatic Programmer: From Journeyman to Master","Andy Hunt","1771","4.33","19962","1999"
"Clean Code: A Handbook of Agile Software Craftsmanship","Robert C. Martin","1600","4.39","19612","2007"
"Code Complete","Steve McConnell","1099","4.3","9086","1993"
"Design Patterns: Elements of Reusable Object-Oriented Software","Erich Gamma","1032","4.19","11009","1994"
"Refactoring: Improving the Design of Existing Code","Martin Fowler","960","4.25","7924","1999"
"The Mythical Man-Month: Essays on Software Engineering","Frederick P. Brooks Jr.","782","4.01","13558","1975"
"Structure and Interpretation of Computer Programs","Harold Abelson","712","4.47","4526","1984"
"Head First Design Patterns","Eric Freeman","698","4.29","8240","2004"
"The Clean Coder: A Code of Conduct for Professional Programmers","Robert C. Martin","693","4.28","8014","2011"
"The C Programming Language","Brian W. Kernighan","678","4.43","10336","1978"
"Introduction to Algorithms","Thomas H. Cormen","665","4.34","8641","nan"
"JavaScript: The Good Parts","Douglas Crockford","578","4.23","8435","2008"
"Working Effectively with Legacy Code","Michael C. Feathers","540","4.14","4352","2004"
"Code: The Hidden Language of Computer Hardware and Software","Charles Petzold","503","4.39","8631","1999"
"Effective Java","Joshua Bloch","501","4.51","7535","2001"
"Domain-Driven Design: Tackling Complexity in the Heart of Software","Eric Evans","495","4.15","5081","2003"
"Programming Pearls","Jon L. Bentley","447","4.2","3157","1986"
"Designing Data-Intensive Applications","Martin Kleppmann","435","4.71","6783","2015"
"Cracking the Coding Interview: 150 Programming Questions and Solutions","Gayle Laakmann McDowell","433","4.34","6369","2008"
"Clean Architecture","Robert C. Martin","415","4.24","5144","2017"
"Test-Driven Development: By Example","Kent Beck","408","4.09","4098","2002"
"Patterns of Enterprise Application Architecture","Martin Fowler","358","4.11","3679","2002"
"Eloquent JavaScript: A Modern Introduction to Programming","Marijn Haverbeke","338","4.14","2845","2010"
"Coders at Work: Reflections on the Craft of Programming","Peter Seibel","335","3.95","5197","2009"
"Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People","Aditya Y. Bhargava","315","4.41","3517","2015"
"The Art of Computer Programming, Volume 1: Fundamental Algorithms","Donald Ervin Knuth","309","4.38","1813","1973"
"The Algorithm Design Manual","Steven S. Skiena","306","4.35","2536","1997"
"Automate the Boring Stuff with Python: Practical Programming for Total Beginners","Al Sweigart","300","4.3","2576","2014"
"The C++ Programming Language","Bjarne Stroustrup","297","4.09","3906","1986"
"Learn You a Haskell for Great Good!","Miran Lipovača","286","4.29","2270","2011"
"Growing Object-Oriented Software, Guided by Tests","Steve  Freeman","271","4.19","2386","2009"
"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability","Steve Krug","263","4.24","27400","2000"
"Pro Git","Scott Chacon","258","4.17","3114","2009"
"Fluent Python: Clear, Concise, and Effective Programming","Luciano Ramalho","256","4.62","1320","2015"
"Peopleware: Productive Projects and Teams","Tom DeMarco","253","4.13","9394","1987"
"Learning Python","Mark Lutz","249","3.99","3024","2013"
"The Practice of Programming","Brian W. Kernighan","240","4.12","1891","1999"
"Building Microservices: Designing Fine-Grained Systems","Sam Newman","238","4.2","4422","2014"
"Effective C++: 55 Specific Ways to Improve Your Programs and Designs","Scott Meyers","237","4.4","3249","1991"
"The Little Schemer","Daniel P. Friedman","222","4.29","1918","1974"
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming","Eric Matthes","221","4.36","2211","2015"
"Algorithms","Robert Sedgewick","221","4.41","1684","1983"
"JavaScript: The Definitive Guide","David Flanagan","221","4.08","2992","1996"
"Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation","Jez Humble","220","4.19","3134","2010"
"Release It!: Design and Deploy Production-Ready Software","Michael T. Nygard","220","4.26","2984","2007"
"Java Concurrency in Practice","Brian Goetz","210","4.47","2742","2005"
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win","Gene Kim","210","4.27","40145","2013"
"Compilers: Principles, Techniques, and Tools","Alfred V. Aho","209","4.09","2919","1986"
"Extreme Programming Explained: Embrace Change","Kent Beck","208","4.11","3794","1999"
"Head First Java","Kathy Sierra","202","4.24","3999","2006"
"Agile Software Development, Principles, Patterns, and Practices","Robert C. Martin","198","4.25","1249","2002"
"Practical Object Oriented Design in Ruby","Sandi Metz","195","4.54","2650","2012"
"97 Things Every Programmer Should Know: Collective Wisdom from the Experts","Kevlin Henney","192","3.64","1865","2010"
"Joel on Software","Joel Spolsky","192","4.12","3319","2004"
"Seven Languages in Seven Weeks","Bruce A. Tate","190","3.96","1654","2010"
"Mastering Regular Expressions","Jeffrey E.F. Friedl","189","4.16","2079","1997"
"Soft Skills: The Software Developer's Life Manual","John Z. Sonmez","187","3.85","2633","nan"
"Refactoring to Patterns","Joshua Kerievsky","187","4.05","1418","2004"
"A Philosophy of Software Design","John Ousterhout","186","4.19","2475","2018"
"Think Python","Allen B. Downey","186","4.12","1517","2002"
"Pragmatic Thinking and Learning: Refactor Your Wetware","Andy Hunt","174","4.12","4143","2008"
"Beautiful Code: Leading Programmers Explain How They Think","Andy Oram","172","3.75","1477","2009"
"Algorithms to Live By: The Computer Science of Human Decisions","Brian Christian","165","4.13","27773","2016"
"Thinking in Java","Bruce Eckel","162","4.15","2166","1998"
"You Don't Know JS: Up & Going","Kyle Simpson","159","4.34","2443","2015"
"Hacker's Delight","Henry S. Warren Jr.","156","4.21","1114","2002"
"Programming Ruby: The Pragmatic Programmers' Guide","Dave Thomas","150","4.03","1965","2000"
"Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14","Scott Meyers","150","4.56","1388","2014"
"The Go Programming Language","Alan A.A. Donovan","148","4.45","1519","2015"
"HTML and CSS: Design and Build Websites","Jon Duckett","148","4.31","4592","2011"
"Hackers & Painters: Big Ideas from the Computer Age","Paul    Graham","148","4.06","8798","2004"
"Artificial Intelligence: A Modern Approach","Stuart Russell","146","4.19","4080","1994"
"Python for Data Analysis","Wes McKinney","140","4.15","2073","2011"
"The Passionate Programmer","Chad Fowler","139","3.95","4243","2009"
"Advanced Programming in the UNIX Environment","W. Richard Stevens","139","4.33","1678","1992"
"Purely Functional Data Structures","Chris Okasaki","138","4.15","658","1996"
"Python Cookbook","David Beazley","135","4.17","969","2002"
"You Don't Know JS: Scope and Closures","Kyle Simpson","135","4.55","1806","2014"
"The Art of Unit Testing: With Examples in .NET","Roy Osherove","135","4.1","1357","2009"
"Programming in Scala","Martin Odersky","135","4.22","1627","2008"
"JavaScript Patterns","Stoyan Stefanov","134","4.17","1627","2010"
"The Art of UNIX Programming","Eric S. Raymond","134","4.18","1224","2003"
"Agile Web Development with Rails: A Pragmatic Guide","Dave Thomas","132","3.84","2160","2005"
"Game Programming Patterns","Robert Nystrom","131","4.49","1270","2011"
"Think Like a Programmer: An Introduction to Creative Problem Solving","V. Anton Spraul","130","3.83","494","2012"
"Programming Perl","Tom Christiansen","129","4.06","2284","1991"
"Types and Programming Languages","Benjamin C. Pierce","128","4.26","542","2002"
"The Rust Programming Language","Steve Klabnik","125","4.47","1088","nan"
"C# in Depth","Jon Skeet","123","4.51","1109","2008"
"Hands-On Machine Learning with Scikit-Learn and TensorFlow","Aurélien Géron","122","4.56","2168","2017"
"Secrets of the JavaScript Ninja","John Resig","122","4.21","1228","2008"
"Effective Python: 59 Specific Ways to Write Better Python","Brett Slatkin","122","4.27","876","2015"
"The Art of Computer Programming, Volumes 1-3 Boxed Set","Donald Ervin Knuth","117","4.49","754","1998"
"The Linux Command Line","William E. Shotts Jr.","115","4.37","1482","2012"
"Rapid Development: Taming Wild Software Schedules","Steve McConnell","114","3.98","1347","1996"
"More Effective C++","Scott Meyers","113","4.34","1052","1995"
"Implementing Domain-Driven Design","Vaughn Vernon","112","4.06","1113","2013"
"Learning Perl","Randal L. Schwartz","111","3.99","1854","1993"
"Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman","Dave Hoover","111","4.12","900","2009"
"Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions","Gregor Hohpe","111","4.12","1466","2003"
"The Art of Computer Programming, Volume 2: Seminumerical Algorithms","Donald Ervin Knuth","111","4.41","511","1969"
"JavaScript and jQuery: Interactive Front-End Web Development","Jon Duckett","110","4.31","1602","2013"
"Real World Haskell: Code You Can Believe In","Bryan O'Sullivan","109","3.93","928","2008"
"Fundamentals of Software Architecture: An Engineering Approach","Mark   Richards","108","4.29","1035","2020"
"The Joy of Clojure","Michael Fogus","108","4.18","955","2010"
"You Don't Know JS: this & Object Prototypes","Kyle Simpson","107","4.49","1198","2014"
"The Linux Programming Interface: A Linux and Unix System Programming Handbook","Michael Kerrisk","107","4.63","602","2010"
"The Art of Computer Programming: Volume 3: Sorting and Searching","Donald Ervin Knuth","107","4.4","500","1973"
"The UNIX Programming Environment","Brian W. Kernighan","105","4.23","1290","1983"
"Learn Python The Hard Way","Zed A. Shaw","103","3.88","1243","2010"
"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations","Gene Kim","103","4.32","4623","2015"
"The Productive Programmer","Neal Ford","103","3.72","807","2008"
"The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary","Eric S. Raymond","102","3.82","4065","1999"
"The Self-Taught Programmer: The Definitive Guide to Programming Professionally","Cory  Althoff","101","3.96","816","2017"
"Modern C++ Design: Generic Programming and Design Patterns Applied","Andrei Alexandrescu","101","4.23","864","2001"
"Practical Vim: Edit Text at the Speed of Thought","Drew Neil","100","4.5","1274","2012"
"Land of LISP: Learn to Program in LISP, One Game at a Time!","Conrad Barski","100","4.16","646","2010"
"Concrete Mathematics: A Foundation for Computer Science","Ronald L. Graham","100","4.33","1821","1988"
"Software Engineering at Google: Lessons Learned from Programming Over Time","Titus Winters","98","4.19","1064","2020"
"Concepts, Techniques, and Models of Computer Programming","Peter Van Roy","98","4.1","243","2004"
"The Design of Everyday Things","Donald A. Norman","98","4.16","38724","1988"
"Site Reliability Engineering: How Google Runs Production Systems","Betsy Beyer","96","4.22","2423","2016"
"How to Design Programs: An Introduction to Programming and Computing","Matthias Felleisen","96","4.01","254","2001"
"99 Bottles of OOP","Sandi Metz","94","4.55","594","nan"
"The Software Craftsman: Professionalism, Pragmatism, Pride","Sandro Mancuso","94","4.32","882","2014"
"Design Patterns in Ruby","Russ Olsen","94","4.15","792","2007"
"C++ Primer","Stanley B. Lippman","93","4.22","941","1989"
"The Elements of Programming Style","Brian W. Kernighan","93","4.2","279","1974"
"The Ruby Programming Language","David Flanagan","93","4.02","1038","2008"
"Programming Collective Intelligence: Building Smart Web 2.0 Applications","Toby Segaran","93","4.08","1454","2002"
"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software","Scott Rosenberg","93","3.71","3059","2007"
"The Elements of Computing Systems: Building a Modern Computer from First Principles","Noam Nisan","92","4.54","812","2005"
"Python Tricks: A Buffet of Awesome Python Features","Dan Bader","91","4.43","990","2017"
"The Psychology of Computer Programming","Gerald M. Weinberg","91","4.07","574","1971"
"Accelerated C++: Practical Programming by Example","Andrew Koenig","91","4.07","714","2000"
"Hacking: The Art of Exploitation","Jon Erickson","90","4.16","2303","2003"
"Functional Programming in Scala","Rúnar Bjarnason","90","4.42","720","2013"
"Effective Programming: More Than Writing Code","Jeff Atwood","90","3.91","928","2012"
"Programming Python","Mark Lutz","90","3.99","1060","1996"
"High Performance Browser Networking","Ilya Grigorik","89","4.52","751","2013"
"The Art of Readable Code","Dustin Boswell","89","4.0","697","2010"
"Computer Systems: A Programmer's Perspective","Randal E. Bryant","89","4.45","955","2002"
"The Well-Grounded Rubyist","David A. Black","88","4.31","750","2008"
"UML Distilled: A Brief Guide to the Standard Object Modeling Language","Martin Fowler","88","3.79","1460","1997"
"Expert C Programming: Deep C Secrets","Peter van der Linden","88","4.33","815","1994"
"Effective JavaScript: 68 Specific Ways to Harness the Power of JavaScript","David  Herman","88","4.3","781","2012"
"Practical Common LISP","Peter Seibel","87","4.15","771","2005"
"Spring in Action","Craig Walls","86","3.95","1283","nan"
"CLR via C#","Jeffrey Richter","85","4.56","1059","2006"
"A Discipline of Programming","Edsger W. Dijkstra","85","4.24","174","1976"
"A Tour of C++","Bjarne Stroustrup","84","4.3","892","2013"
"System Design Interview – An Insider's Guide","Alex Xu","83","4.3","1421","2020"
"Software Estimation: Demystifying the Black Art","Steve McConnell","83","4.05","940","2006"
"Facts and Fallacies of Software Engineering","Robert L. Glass","83","3.95","606","2002"
"Seven Databases in Seven Weeks: A Guide to Modern Databases and the NoSQL Movement","Eric     Redmond","82","4.01","706","2012"
"Modern Operating Systems","Andrew S. Tanenbaum","82","4.13","2035","1992"
"Effective STL: 50 Specific Ways to Improve Your Use of the Standard Template Library","Scott Meyers","81","4.23","608","2001"
"Programming Erlang","Joe Armstrong","79","4.02","740","2007"
"The Effective Engineer: How to Leverage Your Efforts In Software Engineering to Make a Disproportionate and Meaningful Impact","Edmond Lau","79","4.27","1521","2015"
"Head First Object-Oriented Analysis and Design: A Brain Friendly Guide to OOA&D","Brett McLaughlin","78","3.98","878","2006"
"Paradigms of Artificial Intelligence Programming: Case Studies in Common LISP","Peter Norvig","78","4.32","493","1991"
"Agile Principles, Patterns, and Practices in C#","Robert C. Martin","78","4.29","746","2006"
"Applied Cryptography: Protocols, Algorithms, and Source Code in C","Bruce Schneier","78","4.21","2109","1993"
"Programming Interviews Exposed: Secrets to Landing Your Next Job","John Mongan","77","3.96","1179","2000"
"xUnit Test Patterns: Refactoring Test Code","Gerard Meszaros","77","3.94","668","2003"
"Seven Concurrency Models in Seven Weeks: When Threads Unravel","Paul   Butcher","76","3.81","327","2014"
"On LISP: Advanced Techniques for Common LISP","Paul    Graham","76","4.3","472","1993"
"Getting Real: The Smarter, Faster, Easier Way to Build a Web Application","37 Signals","76","3.99","10493","2006"
"Dependency Injection in .NET","Mark Seemann","75","4.42","703","2011"
"Introduction to the Theory of Computation","Michael Sipser","74","4.23","1945","1996"
"Gödel, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter","73","4.29","47374","1979"
"Practices of an Agile Developer: Working in the Real World","Venkat Subramaniam","73","3.88","986","2006"
