"Title","Author","Shelved","Avg. Rating","Ratings","Year"
"On Writing: A Memoir of the Craft","Stephen King","6367","4.33","265841","2000.0"
"Bird by Bird: Some Instructions on Writing and Life","Anne Lamott","4804","4.23","94038","1994.0"
"The Elements of Style","William Strunk Jr.","3822","4.18","80730","1918.0"
"On Writing Well: The Classic Guide to Writing Nonfiction","William Zinsser","2835","4.24","26524","1976.0"
"Writing Down the Bones: Freeing the Writer Within","Natalie Goldberg","2345","4.2","28525","1986.0"
"Zen in the Art of Writing","Ray Bradbury","1863","4.09","18415","1973.0"
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","Lynne Truss","1285","3.86","103911","2003.0"
"Reading Like a Writer: A Guide for People Who Love Books and for Those Who Want to Write Them","Francine Prose","1251","3.77","10737","2006.0"
"Story: Substance, Structure, Style, and the Principles of Screenwriting","Robert McKee","1246","4.27","14721","1997.0"
"The War of Art: Winning the Inner Creative Battle","Steven Pressfield","1236","3.99","93603","2002.0"
"The Writing Life","Annie Dillard","1227","3.98","16158","1989.0"
"Self-Editing for Fiction Writers: How to Edit Yourself Into Print","Renni Browne","1169","4.24","6449","1993.0"
"The Artist's Way: A Spiritual Path to Higher Creativity","Julia Cameron","1138","3.94","105406","1992.0"
"Save the Cat: The Last Book on Screenwriting You'll Ever Need","Blake Snyder","1127","4.04","16780","2005.0"
"Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish","James Scott Bell","1089","4.1","5635","2004.0"
"Writing Tools: 50 Essential Strategies for Every Writer","Roy Peter Clark","1081","4.18","4866","2006.0"
"The Writer's Journey: Mythic Structure for Writers","Christopher Vogler","1021","4.09","9052","1992.0"
"The Anatomy of Story: 22 Steps to Becoming a Master Storyteller","John Truby","1014","4.27","5768","2007.0"
"The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century","Steven Pinker","939","4.04","8090","2014.0"
"Steering the Craft: Exercises and Discussions on Story Writing for the Lone Navigator or the Mutinous Crew","Ursula K. Le Guin","901","4.21","4712","1998.0"
"No Plot? No Problem!: A Low-Stress, High-Velocity Guide to Writing a Novel in 30 Days","Chris Baty","893","3.83","7163","2004.0"
"The Emotion Thesaurus: A Writer's Guide to Character Expression","Angela Ackerman","868","4.51","5615","2012.0"
